final_date,division_name,precip_total_inches,temp_average_F,available_moisture_in_both_layers_start_in,moisture_anomaly_index,available_moisture_surface_layer_in,available_moisture_underlying_layer_in,modified_palmer_drought_index,crop_moisture_index
1997-03-01,south_central,0.3,61.0,7.17,-0.23,0.94,6.17,0.88,0.02
1997-03-08,south_central,1.6,66.0,7.11,0.99,1.0,7.0,1.43,1.05
1997-03-15,south_central,1.7,62.0,8.0,1.31,1.0,7.0,1.84,1.86
1997-03-22,south_central,0.3,68.0,8.0,-0.29,0.66,7.0,1.55,1.01
1997-03-29,south_central,3.4,66.0,7.66,3.11,1.0,7.0,2.7,3.37
1997-04-05,south_central,0.4,64.0,8.0,-0.01,0.9,7.0,2.61,1.79
1997-04-12,south_central,0.2,59.0,7.9,-0.1,0.77,7.0,2.45,0.98
1997-04-19,south_central,1.5,70.0,7.77,0.86,1.0,7.0,2.75,1.27
1997-04-26,south_central,0.3,69.0,8.0,-0.25,0.56,7.0,2.48,0.79
1997-05-03,south_central,1.3,71.0,7.56,0.49,1.0,7.0,2.7,0.77
1997-05-10,south_central,1.2,72.0,8.0,0.36,1.0,7.0,2.75,0.65
1997-05-17,south_central,1.8,75.0,8.0,0.7,1.0,7.0,2.91,1.14
1997-05-24,south_central,0.9,79.0,8.0,-0.04,0.53,7.0,2.79,0.76
1997-05-31,south_central,2.2,77.0,7.53,0.96,1.0,7.0,3.07,1.6
1997-06-07,south_central,1.3,80.0,8.0,0.32,0.81,7.0,3.1,1.32
1997-06-14,south_central,1.8,82.0,7.81,0.73,1.0,7.0,3.27,1.35
1997-06-21,south_central,1.9,80.0,8.0,0.94,1.0,7.0,3.5,1.79
1997-06-28,south_central,0.0,83.0,8.0,-0.38,0.0,6.46,3.12,1.39
1997-07-05,south_central,0.0,84.0,6.46,-0.4,0.0,5.12,2.74,0.93
1997-07-12,south_central,0.0,84.0,5.12,-0.43,0.0,4.07,2.34,0.38
1997-07-19,south_central,0.1,85.0,4.07,-0.37,0.0,3.27,1.98,0.02
1997-07-26,south_central,0.5,85.0,3.27,-0.04,0.0,2.8,1.88,0.0
1997-08-02,south_central,0.9,85.0,2.8,0.35,0.0,2.54,2.05,0.22
1997-08-09,south_central,0.0,86.0,2.54,-0.41,0.0,2.02,1.68,-0.3
1997-08-16,south_central,0.2,87.0,2.02,-0.28,0.0,1.65,1.41,-0.76
1997-08-23,south_central,0.1,82.0,1.65,-0.38,0.0,1.37,1.08,-1.32
1997-08-30,south_central,0.4,83.0,1.37,-0.19,0.0,1.19,0.89,-1.27
1997-09-06,south_central,0.2,84.0,1.19,-0.5,0.0,1.0,0.49,-1.87
1997-09-13,south_central,0.2,85.0,1.0,-0.61,0.0,0.83,0.01,-2.5
1997-09-20,south_central,2.2,77.0,0.83,1.3,1.0,0.95,0.88,-0.65
1997-09-27,south_central,0.1,78.0,1.95,-0.41,0.0,0.95,0.56,0.02
1997-10-04,south_central,5.3,77.0,0.95,3.58,1.0,4.2,2.88,1.9
1997-10-11,south_central,2.2,66.0,5.2,1.44,1.0,5.88,3.29,2.65
1997-10-18,south_central,0.0,71.0,6.88,-0.36,0.28,5.88,2.93,1.76
1997-10-25,south_central,0.1,65.0,6.16,-0.22,0.0,5.81,2.67,1.11
1997-11-01,south_central,0.1,62.0,5.81,-0.2,0.0,5.62,2.44,0.41
1997-11-08,south_central,2.4,54.0,5.62,1.86,1.0,6.85,3.34,2.24
1997-11-15,south_central,0.2,50.0,7.85,0.04,1.0,6.95,3.27,1.35
1997-11-22,south_central,0.5,64.0,7.95,0.12,1.0,7.0,3.23,0.91
1997-11-29,south_central,0.4,54.0,8.0,0.17,1.0,7.0,3.21,0.58
1997-12-06,south_central,0.2,51.0,8.0,0.0,1.0,7.0,3.11,0.25
1997-12-13,south_central,0.5,53.0,8.0,0.24,1.0,7.0,3.13,0.47
1997-12-20,south_central,1.3,52.0,8.0,1.02,1.0,7.0,3.39,1.26
1997-12-27,south_central,0.1,54.0,8.0,-0.2,0.94,7.0,3.14,0.65
1998-01-03,south_central,1.2,60.0,7.94,0.76,1.0,7.0,3.41,1.06
1998-01-10,south_central,0.1,57.0,8.0,-0.26,0.88,7.0,3.12,0.55
1998-01-17,south_central,0.2,56.0,7.88,-0.15,0.87,7.0,2.91,0.05
1998-01-24,south_central,0.4,58.0,7.87,0.0,1.0,7.0,2.82,0.19
1998-01-31,south_central,0.9,54.0,8.0,0.55,1.0,7.0,3.14,0.77
1998-02-07,south_central,1.2,57.0,8.0,0.77,1.0,7.0,3.31,1.22
1998-02-14,south_central,1.5,56.0,8.0,1.07,1.0,7.0,3.59,1.9
1998-02-21,south_central,1.2,61.0,8.0,0.67,1.0,7.0,3.72,1.8
1998-03-01,south_central,0.0,59.0,8.0,-0.45,0.7,7.0,3.29,0.92
1998-03-08,south_central,0.8,50.0,7.7,0.53,1.0,7.0,3.57,1.09
1998-03-15,south_central,1.3,61.0,8.0,0.91,1.0,7.0,3.78,1.51
1998-03-22,south_central,0.0,67.0,8.0,-0.59,0.4,7.0,3.25,0.82
1998-03-29,south_central,0.1,68.0,7.4,-0.48,0.0,6.87,2.8,0.33
1998-04-05,south_central,0.1,67.0,6.87,-0.43,0.0,6.43,2.39,0.03
1998-04-12,south_central,0.3,71.0,6.43,-0.35,0.0,6.01,2.05,-0.04
1998-04-19,south_central,0.1,66.0,6.01,-0.41,0.0,5.64,1.68,-0.16
1998-04-26,south_central,0.2,70.0,5.64,-0.45,0.0,5.23,1.29,-0.31
1998-05-03,south_central,0.0,79.0,5.23,-0.94,0.0,4.36,0.56,-0.86
1998-05-10,south_central,0.0,78.0,4.36,-0.9,0.0,3.66,-0.13,-1.47
1998-05-17,south_central,0.0,80.0,3.66,-0.98,0.0,2.99,-0.84,-2.23
1998-05-24,south_central,0.3,82.0,2.99,-0.8,0.0,2.52,-1.4,-2.68
1998-05-31,south_central,0.4,85.0,2.52,-0.76,0.0,2.11,-1.91,-3.09
1998-06-07,south_central,0.3,84.0,2.11,-0.78,0.0,1.76,-2.34,-3.55
1998-06-14,south_central,0.1,88.0,1.76,-0.97,0.0,1.38,-2.61,-4.39
1998-06-21,south_central,0.0,87.0,1.38,-1.01,0.0,1.08,-2.88,-5.17
1998-06-28,south_central,1.3,86.0,1.08,-0.01,0.0,1.02,-2.81,-3.42
1998-07-05,south_central,0.1,87.0,1.02,-0.87,0.0,0.81,-3.03,-4.37
1998-07-12,south_central,0.2,88.0,0.81,-0.77,0.0,0.65,-3.21,-4.83
1998-07-19,south_central,0.0,88.0,0.65,-0.88,0.0,0.51,-3.42,-5.49
1998-07-26,south_central,0.0,88.0,0.51,-0.83,0.0,0.4,-3.61,-5.86
1998-08-02,south_central,1.3,86.0,0.4,0.36,0.0,0.38,-3.24,-2.94
1998-08-09,south_central,0.6,86.0,0.38,-0.16,0.0,0.33,-3.26,-2.42
1998-08-16,south_central,2.4,83.0,0.33,1.62,0.88,0.33,-1.99,0.13
1998-08-23,south_central,1.7,84.0,1.21,1.53,1.0,0.37,-0.82,0.42
1998-08-30,south_central,0.2,84.0,1.37,0.07,0.0,0.36,-0.72,0.31
1998-09-06,south_central,3.6,80.0,0.36,2.8,1.0,1.62,1.32,1.06
1998-09-13,south_central,2.4,80.0,2.62,1.94,1.0,2.7,2.59,1.83
1998-09-20,south_central,0.2,83.0,3.7,-0.3,0.0,2.63,2.28,1.26
1998-09-27,south_central,0.2,83.0,2.63,-0.6,0.0,2.24,1.75,0.4
1998-10-04,south_central,2.5,73.0,2.24,1.5,1.0,2.9,2.61,1.17
1998-10-11,south_central,2.2,75.0,3.9,1.27,1.0,4.18,2.96,1.68
1998-10-18,south_central,8.2,66.0,5.18,6.11,1.0,7.0,4.92,8.57
1998-10-25,south_central,0.2,73.0,8.0,-0.24,0.4,7.0,4.62,4.97
1998-11-01,south_central,1.5,62.0,7.4,0.99,1.0,7.0,4.93,3.97
1998-11-08,south_central,3.3,62.0,8.0,2.58,1.0,7.0,5.67,5.26
1998-11-15,south_central,0.4,65.0,8.0,0.04,0.95,7.0,5.54,2.92
1998-11-22,south_central,0.0,68.0,7.95,-0.43,0.4,7.0,5.08,1.68
1998-11-29,south_central,0.1,72.0,7.4,-0.53,0.0,6.83,4.57,0.97
1998-12-06,south_central,1.5,56.0,6.83,1.15,1.0,7.0,5.21,1.57
1998-12-13,south_central,0.0,53.0,8.0,-0.25,0.85,7.0,4.89,0.86
1998-12-20,south_central,0.1,45.0,7.85,-0.09,0.91,7.0,4.69,0.34
1998-12-27,south_central,0.5,56.0,7.91,0.16,1.0,7.0,4.67,0.42
1999-01-03,south_central,0.0,51.0,8.0,-0.26,0.89,7.0,4.35,0.09
1999-01-10,south_central,0.1,52.0,7.89,-0.18,0.85,7.0,4.09,0.07
1999-01-17,south_central,0.0,64.0,7.85,-0.52,0.44,7.0,3.6,0.07
1999-01-24,south_central,0.2,63.0,7.44,-0.32,0.26,7.0,3.26,0.06
1999-01-31,south_central,0.0,62.0,7.26,-0.51,0.0,6.91,2.79,0.03
1999-02-07,south_central,0.2,66.0,6.91,-0.46,0.0,6.65,2.37,-0.05
1999-02-14,south_central,0.3,60.0,6.65,-0.24,0.0,6.64,2.11,-0.03
1999-02-21,south_central,0.0,62.0,6.64,-0.59,0.0,6.32,1.62,-0.14
1999-03-01,south_central,0.0,65.0,6.32,-0.7,0.0,5.93,1.06,-0.27
1999-03-08,south_central,0.8,68.0,5.93,0.02,0.19,5.93,1.01,-0.01
1999-03-15,south_central,1.0,60.0,6.12,0.55,0.84,5.93,1.32,0.46
1999-03-22,south_central,0.4,64.0,6.78,-0.1,0.77,5.93,1.19,0.03
1999-03-29,south_central,1.2,66.0,6.7,0.75,1.0,6.34,1.63,0.62
1999-04-05,south_central,0.1,74.0,7.34,-0.64,0.14,6.34,1.13,0.22
1999-04-12,south_central,0.2,69.0,6.48,-0.38,0.0,6.04,0.81,0.08
1999-04-19,south_central,0.0,73.0,6.04,-0.73,0.0,5.34,0.27,-0.21
1999-04-26,south_central,0.8,75.0,5.34,-0.1,0.0,5.17,0.17,-0.13
1999-05-03,south_central,0.1,75.0,5.17,-0.71,0.0,4.54,-0.33,-0.57
1999-05-10,south_central,1.6,76.0,4.54,0.41,0.45,4.54,-0.09,0.07
1999-05-17,south_central,0.8,78.0,4.99,-0.23,0.0,4.52,-0.26,0.03
1999-05-24,south_central,1.0,79.0,4.52,-0.14,0.0,4.31,-0.37,0.0
1999-05-31,south_central,0.2,82.0,4.31,-0.75,0.0,3.57,-0.87,-0.85
1999-06-07,south_central,0.3,82.0,3.57,-0.67,0.0,3.0,-1.29,-1.51
1999-06-14,south_central,1.3,81.0,3.0,0.09,0.0,2.91,-1.22,-0.79
1999-06-21,south_central,3.1,81.0,2.91,1.45,1.0,3.47,-0.32,0.75
1999-06-28,south_central,0.1,84.0,4.47,-0.47,0.0,3.23,-0.62,0.29
1999-07-05,south_central,0.9,82.0,3.23,0.0,0.0,2.95,-0.63,0.04
1999-07-12,south_central,0.7,82.0,2.95,-0.1,0.0,2.63,-0.69,-0.12
1999-07-19,south_central,0.9,82.0,2.63,0.12,0.0,2.42,-0.62,0.03
1999-07-26,south_central,0.0,85.0,2.42,-0.57,0.0,1.92,-0.97,-1.1
1999-08-02,south_central,0.1,86.0,1.92,-0.48,0.0,1.54,-1.24,-1.83
1999-08-09,south_central,0.0,87.0,1.54,-0.57,0.0,1.22,-1.55,-2.56
1999-08-16,south_central,0.2,87.0,1.22,-0.39,0.0,1.0,-1.67,-2.68
1999-08-23,south_central,1.6,85.0,1.0,0.96,0.03,1.0,-0.83,0.05
1999-08-30,south_central,0.2,85.0,1.03,-0.42,0.0,0.83,-1.12,-0.66
1999-09-06,south_central,0.5,84.0,0.83,-0.22,0.0,0.73,-1.24,-0.91
1999-09-13,south_central,0.1,80.0,0.73,-0.61,0.0,0.62,-1.62,-1.92
1999-09-20,south_central,0.0,76.0,0.62,-0.63,0.0,0.54,-1.79,-2.6
1999-09-27,south_central,0.7,75.0,0.54,-0.03,0.0,0.52,-1.76,-1.62
1999-10-04,south_central,0.0,76.0,0.52,-0.68,0.0,0.46,-1.94,-2.47
1999-10-11,south_central,0.1,78.0,0.46,-0.68,0.0,0.4,-2.12,-3.01
1999-10-18,south_central,0.9,62.0,0.4,0.33,0.52,0.4,-1.79,-1.77
1999-10-25,south_central,0.1,68.0,0.92,-0.33,0.04,0.4,-2.01,-0.91
1999-11-01,south_central,0.1,63.0,0.44,-0.33,0.0,0.39,-2.07,-0.92
1999-11-08,south_central,0.0,67.0,0.39,-0.54,0.0,0.36,-2.2,-1.41
1999-11-15,south_central,0.0,67.0,0.36,-0.58,0.0,0.34,-2.34,-1.75
1999-11-22,south_central,0.3,62.0,0.34,-0.25,0.0,0.34,-2.36,-1.18
1999-11-29,south_central,0.0,65.0,0.34,-0.67,0.0,0.32,-2.52,-1.51
1999-12-06,south_central,0.1,56.0,0.32,-0.43,0.0,0.32,-2.61,-1.17
1999-12-13,south_central,0.2,53.0,0.32,-0.34,0.05,0.32,-2.65,-0.77
1999-12-20,south_central,0.3,50.0,0.37,-0.24,0.26,0.32,-2.67,-0.5
1999-12-27,south_central,0.0,59.0,0.58,-0.69,0.0,0.32,-2.83,-0.34
2000-01-03,south_central,2.1,57.0,0.32,1.41,1.0,1.2,-1.7,0.08
2000-01-10,south_central,0.0,62.0,2.2,-0.68,0.65,1.2,-2.14,-0.12
2000-01-17,south_central,0.0,65.0,1.85,-0.75,0.21,1.2,-2.65,-0.05
2000-01-24,south_central,0.7,51.0,1.41,0.19,0.79,1.2,-2.39,0.1
2000-01-31,south_central,0.6,48.0,1.99,0.13,1.0,1.51,-2.21,0.13
2000-02-07,south_central,0.0,62.0,2.51,-0.7,0.63,1.51,-2.59,-0.01
2000-02-14,south_central,0.0,69.0,2.14,-0.96,0.01,1.51,-2.84,0.0
2000-02-21,south_central,0.9,67.0,1.52,-0.12,0.36,1.51,-2.81,0.07
2000-03-01,south_central,0.0,66.0,1.87,-0.92,0.0,1.48,-3.05,-0.23
2000-03-08,south_central,0.2,69.0,1.48,-0.86,0.0,1.39,-3.26,-0.8
2000-03-15,south_central,2.2,60.0,1.39,1.6,1.0,2.26,-1.99,0.03
2000-03-22,south_central,0.2,69.0,3.26,-0.55,0.52,2.26,-2.31,-0.24
2000-03-29,south_central,0.1,73.0,2.78,-0.79,0.0,2.19,-2.8,-0.43
2000-04-05,south_central,0.9,65.0,2.19,0.33,0.37,2.19,-2.47,-0.1
2000-04-12,south_central,0.9,66.0,2.55,0.38,0.69,2.19,-2.11,0.06
2000-04-19,south_central,0.0,74.0,2.87,-0.78,0.0,2.1,-2.6,-0.28
2000-04-26,south_central,0.0,75.0,2.1,-0.96,0.0,1.83,-3.02,-1.48
2000-05-03,south_central,2.8,75.0,1.83,1.39,1.0,2.56,-1.9,-0.24
2000-05-10,south_central,0.9,80.0,3.56,-0.25,0.46,2.56,-2.01,-0.24
2000-05-17,south_central,1.4,78.0,3.02,0.15,0.57,2.56,-1.83,0.04
2000-05-24,south_central,0.1,81.0,3.13,-0.86,0.0,2.29,-2.38,-0.8
2000-05-31,south_central,0.5,81.0,2.29,-0.63,0.0,2.0,-2.76,-1.59
2000-06-07,south_central,3.1,79.0,2.0,1.31,1.0,2.71,-1.71,-0.08
2000-06-14,south_central,1.1,81.0,3.71,0.11,0.56,2.71,-1.56,0.12
2000-06-21,south_central,0.4,83.0,3.27,-0.44,0.0,2.48,-1.82,-0.24
2000-06-28,south_central,0.0,84.0,2.48,-0.84,0.0,1.96,-2.36,-1.76
2000-07-05,south_central,0.0,84.0,1.96,-0.82,0.0,1.56,-2.69,-2.92
2000-07-12,south_central,0.0,86.0,1.56,-0.83,0.0,1.22,-2.9,-3.85
2000-07-19,south_central,0.0,87.0,1.22,-0.82,0.0,0.96,-3.1,-4.56
2000-07-26,south_central,0.2,86.0,0.96,-0.6,0.0,0.78,-3.23,-4.58
2000-08-02,south_central,0.5,84.0,0.78,-0.27,0.0,0.67,-3.24,-3.78
2000-08-09,south_central,0.1,86.0,0.67,-0.59,0.0,0.54,-3.35,-4.09
2000-08-16,south_central,0.2,85.0,0.54,-0.46,0.0,0.45,-3.42,-3.97
2000-08-23,south_central,0.2,85.0,0.45,-0.46,0.0,0.37,-3.49,-3.87
2000-08-30,south_central,0.0,87.0,0.37,-0.72,0.0,0.3,-3.64,-4.42
2000-09-06,south_central,0.1,88.0,0.3,-0.71,0.0,0.24,-3.79,-4.68
2000-09-13,south_central,0.9,85.0,0.24,0.02,0.0,0.22,-3.66,-3.01
2000-09-20,south_central,0.2,81.0,0.22,-0.63,0.0,0.19,-3.81,-3.41
2000-09-27,south_central,0.6,71.0,0.19,-0.01,0.0,0.19,-3.71,-2.1
2000-10-04,south_central,0.6,77.0,0.19,-0.23,0.0,0.18,-3.69,-1.72
2000-10-11,south_central,1.7,58.0,0.18,1.06,1.0,0.6,-2.83,-0.84
2000-10-18,south_central,1.1,74.0,1.6,0.37,1.0,0.84,-2.46,-0.15
2000-10-25,south_central,1.4,76.0,1.84,0.57,1.0,1.29,-1.96,0.21
2000-11-01,south_central,2.8,75.0,2.29,1.75,1.0,3.21,-0.63,1.05
2000-11-08,south_central,1.6,59.0,4.21,1.09,1.0,4.53,0.19,1.43
2000-11-15,south_central,1.7,54.0,5.53,1.29,1.0,6.06,1.14,2.1
2000-11-22,south_central,1.5,53.0,7.06,1.19,1.0,7.0,1.97,2.49
2000-11-29,south_central,0.1,60.0,8.0,-0.2,0.8,7.0,1.8,1.36
2000-12-06,south_central,0.2,49.0,7.8,0.02,0.92,7.0,1.79,0.85
2000-12-13,south_central,0.6,50.0,7.92,0.38,1.0,7.0,2.03,0.79
2000-12-20,south_central,0.0,48.0,8.0,-0.2,0.93,7.0,1.86,0.25
2000-12-27,south_central,0.9,44.0,7.93,0.7,1.0,7.0,2.25,0.93
2001-01-03,south_central,0.1,47.0,8.0,-0.12,1.0,7.0,2.09,0.45
2001-01-10,south_central,1.4,51.0,8.0,1.12,1.0,7.0,2.48,1.33
2001-01-17,south_central,1.0,45.0,8.0,0.78,1.0,7.0,2.67,1.63
2001-01-24,south_central,0.5,57.0,8.0,0.13,1.0,7.0,2.65,1.1
2001-01-31,south_central,0.5,55.0,8.0,0.15,1.0,7.0,2.63,0.87
2001-02-07,south_central,0.1,58.0,8.0,-0.3,0.84,7.0,2.33,0.37
2001-02-14,south_central,0.6,58.0,7.84,0.16,1.0,7.0,2.37,0.35
2001-02-21,south_central,0.1,60.0,8.0,-0.37,0.78,7.0,2.01,0.01
2001-02-28,south_central,0.1,31.0,7.78,-0.11,0.88,7.0,1.85,0.1
2001-03-01,south_central,0.0,46.4,4.77,-0.27,0.68,4.0,1.57,0.04
2001-03-08,south_central,1.1,61.0,8.0,0.66,1.0,7.0,2.26,0.77
2001-03-15,south_central,0.2,58.0,8.0,-0.16,0.91,7.0,1.98,0.28
2001-03-22,south_central,1.1,56.0,7.91,0.87,1.0,7.0,2.39,0.92
2001-03-29,south_central,0.0,73.0,8.0,-0.72,0.1,7.0,1.77,0.52
2001-04-05,south_central,0.1,75.0,7.1,-0.69,0.0,6.29,1.18,0.07
2001-04-12,south_central,0.1,71.0,6.29,-0.56,0.0,5.72,0.7,-0.1
2001-04-19,south_central,0.8,69.0,5.72,0.14,0.07,5.72,0.76,0.09
2001-04-26,south_central,1.0,74.0,5.79,0.11,0.06,5.72,0.8,0.14
2001-05-03,south_central,1.2,75.0,5.78,0.2,0.18,5.72,0.91,0.31
2001-05-10,south_central,0.2,77.0,5.9,-0.62,0.0,5.12,0.4,-0.05
2001-05-17,south_central,0.7,77.0,5.12,-0.27,0.0,4.78,0.16,-0.17
2001-05-24,south_central,0.4,82.0,4.78,-0.61,0.0,4.08,-0.32,-0.68
2001-05-31,south_central,0.7,82.0,4.08,-0.38,0.0,3.64,-0.61,-0.88
2001-06-07,south_central,0.5,83.0,3.64,-0.51,0.0,3.13,-0.98,-1.29
2001-06-14,south_central,0.5,81.0,3.13,-0.44,0.0,2.72,-1.26,-1.56
2001-06-21,south_central,0.6,83.0,2.72,-0.38,0.0,2.37,-1.36,-1.72
2001-06-28,south_central,0.8,82.0,2.37,-0.17,0.0,2.14,-1.38,-1.5
2001-07-05,south_central,0.0,85.0,2.14,-0.78,0.0,1.69,-1.61,-2.64
2001-07-12,south_central,0.0,87.0,1.69,-0.79,0.0,1.32,-1.83,-3.56
2001-07-19,south_central,0.1,86.0,1.32,-0.66,0.0,1.06,-2.01,-3.99
2001-07-26,south_central,0.2,86.0,1.06,-0.54,0.0,0.86,-2.14,-4.03
2001-08-02,south_central,0.2,86.0,0.86,-0.49,0.0,0.71,-2.25,-3.99
2001-08-09,south_central,0.2,87.0,0.71,-0.47,0.0,0.58,-2.35,-3.92
2001-08-16,south_central,0.1,86.0,0.58,-0.55,0.0,0.47,-2.48,-4.07
2001-08-23,south_central,7.8,80.0,0.47,7.02,1.0,5.9,2.34,2.11
2001-08-30,south_central,2.0,82.0,6.9,1.98,1.0,6.47,2.94,3.07
2001-09-06,south_central,0.9,79.0,7.47,0.76,0.66,6.47,3.12,2.93
2001-09-13,south_central,0.4,81.0,7.13,0.06,0.0,6.24,3.06,2.56
2001-09-20,south_central,0.4,70.0,6.24,0.08,0.0,5.99,3.01,1.55
2001-09-27,south_central,0.6,70.0,5.99,0.17,0.0,5.91,2.99,1.3
2001-10-04,south_central,2.4,71.0,5.91,1.54,1.0,6.57,3.43,2.74
2001-10-11,south_central,0.0,63.0,7.57,-0.22,0.58,6.57,3.17,1.89
2001-10-18,south_central,0.0,72.0,7.16,-0.38,0.0,6.43,2.79,1.22
2001-10-25,south_central,0.0,67.0,6.43,-0.34,0.0,6.0,2.46,0.67
2001-11-01,south_central,0.3,67.0,6.0,-0.12,0.0,5.82,2.29,0.52
2001-11-08,south_central,3.2,69.0,5.82,2.35,1.0,7.0,3.47,2.91
2001-11-15,south_central,0.2,62.0,8.0,-0.1,0.85,7.0,3.3,1.72
2001-11-22,south_central,1.04,54.4,7.85,0.77,1.0,7.0,3.52,1.85
2001-11-29,south_central,1.98,66.7,8.0,1.43,1.0,7.0,3.91,2.55
2001-12-06,south_central,1.29,53.3,8.0,1.02,1.0,7.0,4.16,2.48
2001-12-13,south_central,0.63,56.0,8.0,0.31,1.0,7.0,4.16,1.72
2001-12-20,south_central,0.0,49.9,8.0,-0.23,0.9,7.0,3.87,0.9
2001-12-27,south_central,0.59,40.7,7.9,0.41,1.0,7.0,4.01,0.93
2002-01-03,south_central,0.1,53.7,8.0,-0.21,0.94,7.0,3.74,0.42
2002-01-10,south_central,0.02,55.8,7.94,-0.32,0.76,7.0,3.4,0.06
2002-01-17,south_central,0.08,57.4,7.76,-0.3,0.6,7.0,3.08,0.05
2002-01-24,south_central,0.16,60.7,7.6,-0.3,0.44,7.0,2.77,0.04
2002-01-31,south_central,0.49,48.4,7.44,0.2,0.84,7.0,2.81,0.42
2002-02-07,south_central,0.0,51.8,7.84,-0.31,0.71,7.0,2.5,0.02
2002-02-14,south_central,0.1,58.2,7.71,-0.34,0.53,7.0,2.17,0.02
2002-02-21,south_central,0.1,49.7,7.53,-0.21,0.52,7.0,1.93,0.01
2002-03-01,south_central,0.0,41.9,5.0,-0.21,0.96,4.0,3.22,0.6
2002-03-08,south_central,0.06,62.5,7.37,-0.48,0.02,7.0,1.21,0.03
2002-03-15,south_central,0.57,62.8,7.02,0.07,0.16,7.0,1.2,0.18
2002-03-22,south_central,0.16,64.9,7.16,-0.36,0.0,6.83,0.89,0.05
2002-03-29,south_central,0.09,65.7,6.83,-0.43,0.0,6.43,0.54,-0.02
2002-04-05,south_central,2.1,70.4,6.43,1.53,1.0,6.76,1.54,1.27
2002-04-12,south_central,0.14,77.4,7.76,-0.68,0.0,6.72,1.01,0.82
2002-04-19,south_central,0.02,78.7,6.72,-0.89,0.0,5.66,0.35,0.09
2002-04-26,south_central,0.01,81.3,5.66,-1.03,0.0,4.63,-0.39,-0.57
2002-05-03,south_central,0.0,82.3,4.63,-1.08,0.0,3.74,-1.13,-1.35
2002-05-10,south_central,0.56,75.2,3.74,-0.39,0.0,3.49,-1.39,-1.27
2002-05-17,south_central,0.0,72.4,3.49,-0.68,0.0,3.08,-1.82,-1.69
2002-05-24,south_central,0.93,78.2,3.08,-0.2,0.0,2.93,-1.88,-1.32
2002-05-31,south_central,0.11,82.1,2.93,-0.87,0.0,2.39,-2.12,-2.28
2002-06-07,south_central,0.19,84.3,2.39,-0.83,0.0,1.95,-2.35,-3.06
